ID,year,Attitude,Type
1,2002,inconclusive,Systematic Review
2,2003,inconclusive,Systematic Review
3,2004,inconclusive,Systematic Review
4,2009,for,Systematic Review
5,2011,inconclusive,Systematic Review
6,2011,inconclusive,Systematic Review
7,2012,for,Systematic Review
8,2012,for,Systematic Review
9,2013,for,Systematic Review
10,2012,against,Systematic Review
11,2013,against,Systematic Review
12,2013,inconclusive,Systematic Review
13,2014,for,Systematic Review
14,2014,against,Systematic Review
26,1978,inconclusive,Primary Study Report
27,1985,against,Primary Study Report
28,1987,against,Primary Study Report
29,1990,inconclusive,Primary Study Report
30,1992,against,Primary Study Report
31,1992,for,Primary Study Report
32,1992,inconclusive,Primary Study Report
33,1995,against,Primary Study Report
34,1997,against,Primary Study Report
35,1997,against,Primary Study Report
36,1999,against,Primary Study Report
37,1999,against,Primary Study Report
38,1997,inconclusive,Primary Study Report
39,1997,against,Primary Study Report
40,1998,against,Primary Study Report
41,1998,against,Primary Study Report
42,1998,for,Primary Study Report
43,2001,for,Primary Study Report
44,1998,against,Primary Study Report
45,1999,for,Primary Study Report
46,2002,for,Primary Study Report
47,2001,for,Primary Study Report
48,2003,against,Primary Study Report
49,2004,for,Primary Study Report
50,2005,against,Primary Study Report
51,2006,inconclusive,Primary Study Report
52,2006,against,Primary Study Report
53,2007,against,Primary Study Report
54,2007,for,Primary Study Report
55,2007,for,Primary Study Report
56,2009,for,Primary Study Report
57,2014,for,Primary Study Report
58,2008,against,Primary Study Report
59,2008,against,Primary Study Report
60,2008,against,Primary Study Report
61,2008,for,Primary Study Report
62,2009,for,Primary Study Report
63,2009,against,Primary Study Report
64,2009,against,Primary Study Report
65,2010,against,Primary Study Report
66,2010,for,Primary Study Report
67,2010,inconclusive,Primary Study Report
68,2011,for ,Primary Study Report
69,2011,against,Primary Study Report
70,2011,for,Primary Study Report
71,2011,against,Primary Study Report
72,2011,against,Primary Study Report
73,2011,for,Primary Study Report
74,2011,against,Primary Study Report
75,2011,against,Primary Study Report
76,2011,for,Primary Study Report
77,2011,against,Primary Study Report
78,2011,for,Primary Study Report
79,2011,for,Primary Study Report
80,2012,for,Primary Study Report
81,2012,for,Primary Study Report
82,2012,for,Primary Study Report
83,2012,inconclusive,Primary Study Report
84,2012,for,Primary Study Report
85,2012,for,Primary Study Report
86,2013,against,Primary Study Report
87,2013,against,Primary Study Report
88,2014,for,Primary Study Report
89,2014,against,Primary Study Report
90,2014,for,Primary Study Report
91,2014,against,Primary Study Report
92,2014,against,Primary Study Report
93,2014,against,Primary Study Report
