,author_id,no_of_names,full_name
0,45,2,Changxiang Cheng
1,45,2,Changxiang Chen
2,46,2,Suhui Ma
4,70,2,Qun Li
6,71,2,Lifang Wang
8,90,2,Yaning Zhao
10,108,3,N Mutrie
11,108,3,Nanette Mutrie
13,139,2,Tyler N. Tapps
14,139,2,Tyler Tapps
15,163,2,Siri Kvam
17,164,2,Catrine Lykkedrang Kleppe
18,164,2,Catrine L. Kleppe
19,165,2,Inger Hilde Nordhus
21,6506136404,2,Elizabeth J. Doyne
23,6506281745,2,Roger R. Eischens
25,6506485825,2,Ryan Huebinger
26,6506485825,2,R. M. Huebinger
27,6506535310,2,Jeff Fremont
28,6506535310,2,Jeffrey Fremont
29,6506755579,2,Diane Rigassio Radler
31,6507233742,5,Marco Solmi
34,6507233742,5,M. Solmi
36,6507562219,2,Manote Lotrakul
38,6508105060,2,Karin Wadell
40,6508123381,2,Ilona B. McDougall-Wilson
42,6602111727,2,Ammarin Thakkinstian
44,6602196619,2,Zvi D. Gellis
46,6602336142,3,Fiona Gaughran
47,6602336142,3,F. Gaughran
49,6602385251,2,Andrea C. Deslandes
50,6602385251,2,Andrea Camaz Deslandes
51,6602884948,2,Paul Nakonezny
52,6602884948,2,P. A. Nakonezny
53,6602966839,2,I. J. Hendriksen
54,6602966839,2,Ingrid J.M. Hendriksen
55,6602994588,5,Maria A. Fiatarone
57,6602994588,5,M. A.F. Singh
58,6602994588,5,Maria A.Fiatarone Singh
59,6602994588,5,Maria A. Fiatarone Singh
60,6603077146,3,Pascal Sienaert
63,6603291354,2,Per Carlbring
65,6603305233,2,Heather O. Chambliss
67,6603379273,2,Christine L. McKibbin
68,6603379273,2,Christine McKibbin
69,6603397458,3,Bruce D. Grannemann
71,6603397458,3,B. D. Grannemann
72,6603479223,2,Daniel I. Galper
73,6603479223,2,DI Galper
74,6603580098,2,Teri T. Baldewicz
75,6603580098,2,T. Baldewicz
76,6603622470,2,Shula Minsky
78,6603827346,2,Claudio Velluti
80,6603944414,2,Zachary Steel
82,6701313040,3,Alan S. Gurman
85,6701499133,2,Maria Carolina Hardoy
87,6701722656,3,James B. Kampert
89,6701722656,3,JB Kampert
90,6701797460,2,Margda Waern
92,7003390306,2,Erik J. Giltay
94,7003636771,2,Shuichi Awata
96,7003678505,3,Hans Bosma
97,7003678505,3,H. Bosma
99,7003829458,2,Yvonne Forsell
101,7004018130,2,Maria Augusta Vieira-Coelho
103,7004037083,2,Helen Lavretsky
104,7004037083,2,H. Lavretsky
105,7004235106,2,Bernadette M. Melnyk
107,7004256256,6,W. Edward Craighead
109,7004256256,6,W. E. Craighead
113,7004290629,2,Miguel A. Martinez-Gonzalez
114,7004290629,2,Miguel A. Martínez-González
115,7004412740,2,Frans G. Zitman
117,7004425915,10,Marc De Hert
118,7004425915,10,M. De Hert
127,7004498523,11,Michael A. Babyak
128,7004498523,11,Michael Babyak
129,7004498523,11,M. A. Babyak
138,7004523568,5,M. P. Fleck
139,7004523568,5,Marcelo P. Fleck
141,7004523568,5,Marcelo Pio de Almeida Fleck
143,7004545565,2,Matthew Menza
145,7004745996,2,Peter Hassmén
147,7004884514,4,Christian Gluud
151,7004926839,3,Thomas J. Carmody
153,7004926839,3,T. J. Carmody
154,7005050686,9,P. Murali Doraiswamy
155,7005050686,9,Murali Doraiswamy
156,7005050686,9,M. Doraiswamy
163,7005117230,2,Leigh Small
165,7005211802,2,W. Jack Rejeski
166,7005211802,2,W. J. Rejeski
