ID,Title,author_given_name,author_surname,author_id
1,Physical activity in depressed elderly. a systematic review,Gioia,Mura,7005321937
1,Physical activity in depressed elderly. a systematic review,Mauro Giovanni,Carta,7006714673
2,Exercise for depression,Gary. M.,Cooney,26028761700
2,Exercise for depression,Kerry,Dwan,25027473800
2,Exercise for depression,Carolyn A.,Greig,7003441733
2,Exercise for depression,Debbie. A.,Lawlor,7102452820
2,Exercise for depression,Janet B.,Rimer,55361437700
2,Exercise for depression,Fiona R.,Waugh,55946350700
2,Exercise for depression,Mariono,McMurdo,35594258000
2,Exercise for depression,Gillian E.,Mead,7101899968
3,Physical activity and the prevention of depression,George,Mammen,55382930700
3,Physical activity and the prevention of depression,Guy,Faulkner,7005753356
4,Yoga for depression: a systematic review and meta-analysis: review: yoga for depression: a meta-analysis,Holger,Cramer,50161242500
4,Yoga for depression: a systematic review and meta-analysis: review: yoga for depression: a meta-analysis,Romy,Lauche,23482138400
4,Yoga for depression: a systematic review and meta-analysis: review: yoga for depression: a meta-analysis,Jost,Langhorst,6602609331
4,Yoga for depression: a systematic review and meta-analysis: review: yoga for depression: a meta-analysis,Gustav,Dobos,55491154600
5,Physical exercise intervention in depressive disorders: Meta-analysis and systematic review: Exercise intervention in depressive disorders,T.,Josefsson,56538301800
5,Physical exercise intervention in depressive disorders: Meta-analysis and systematic review: Exercise intervention in depressive disorders,M.,Lindwall,8365303000
5,Physical exercise intervention in depressive disorders: Meta-analysis and systematic review: Exercise intervention in depressive disorders,T.,Archer,7101684166
6,Treating major depression with physical activity: a systematic overview with recommendations,Markus B.T.,Nystrˆm,55535657100
6,Treating major depression with physical activity: a systematic overview with recommendations,Gregory,Neely,57216849811
6,Treating major depression with physical activity: a systematic overview with recommendations,Peter,HassmÈn,7004745996
6,Treating major depression with physical activity: a systematic overview with recommendations,Per,Carlbring,6603291354
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Amanda L.,Rebar,55937151900
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Robert,Stanton,7101932751
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,David,Geard,56719775400
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Camille,Short,54394130400
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Mitch J.,Duncan,8858216200
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Corneel,Vandelanotte,15926457000
8,Using exercise to fight depression in older adults,Stephan,Heinzel,25223351500
8,Using exercise to fight depression in older adults,Jimmy B.,Lawrence,57109747500
8,Using exercise to fight depression in older adults,Gunnar,Kallies,57110455700
8,Using exercise to fight depression in older adults,Michael A.,Rapp,56577545000
8,Using exercise to fight depression in older adults,Andreas,Heissel,57110279600
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Brendon,Stubbs,57204891343
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Davy,Vancampfort,26326634000
