ID,Title,author_given_name,author_surname,author_id,
1,Physical activity in depressed elderly. a systematic review,Gioia,Mura,7005321937,Gioia Mura
1,Physical activity in depressed elderly. a systematic review,Mauro Giovanni,Carta,7006714673,Mauro Giovanni Carta
2,Exercise for depression,Gary. M.,Cooney,26028761700,Gary. M. Cooney
2,Exercise for depression,Kerry,Dwan,25027473800,Kerry Dwan
2,Exercise for depression,Carolyn A.,Greig,7003441733,Carolyn A. Greig
2,Exercise for depression,Debbie. A.,Lawlor,7102452820,Debbie. A. Lawlor
2,Exercise for depression,Janet B.,Rimer,55361437700,Janet B. Rimer
2,Exercise for depression,Fiona R.,Waugh,55946350700,Fiona R. Waugh
2,Exercise for depression,Mariono,McMurdo,35594258000,Mariono McMurdo
2,Exercise for depression,Gillian E.,Mead,7101899968,Gillian E. Mead
3,Physical activity and the prevention of depression,George,Mammen,55382930700,George Mammen
3,Physical activity and the prevention of depression,Guy,Faulkner,7005753356,Guy Faulkner
4,Yoga for depression: a systematic review and meta-analysis: review: yoga for depression: a meta-analysis,Holger,Cramer,50161242500,Holger Cramer
4,Yoga for depression: a systematic review and meta-analysis: review: yoga for depression: a meta-analysis,Romy,Lauche,23482138400,Romy Lauche
4,Yoga for depression: a systematic review and meta-analysis: review: yoga for depression: a meta-analysis,Jost,Langhorst,6602609331,Jost Langhorst
4,Yoga for depression: a systematic review and meta-analysis: review: yoga for depression: a meta-analysis,Gustav,Dobos,55491154600,Gustav Dobos
5,Physical exercise intervention in depressive disorders: Meta-analysis and systematic review: Exercise intervention in depressive disorders,T.,Josefsson,56538301800,T. Josefsson
5,Physical exercise intervention in depressive disorders: Meta-analysis and systematic review: Exercise intervention in depressive disorders,M.,Lindwall,8365303000,M. Lindwall
5,Physical exercise intervention in depressive disorders: Meta-analysis and systematic review: Exercise intervention in depressive disorders,T.,Archer,7101684166,T. Archer
6,Treating major depression with physical activity: a systematic overview with recommendations,Markus B.T.,Nyström,55535657100,Markus B.T. Nyström
6,Treating major depression with physical activity: a systematic overview with recommendations,Gregory,Neely,57216849811,Gregory Neely
6,Treating major depression with physical activity: a systematic overview with recommendations,Peter,Hassmén,7004745996,Peter Hassmén
6,Treating major depression with physical activity: a systematic overview with recommendations,Per,Carlbring,6603291354,Per Carlbring
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Amanda L.,Rebar,55937151900,Amanda L. Rebar
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Robert,Stanton,7101932751,Robert Stanton
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,David,Geard,56719775400,David Geard
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Camille,Short,54394130400,Camille Short
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Mitch J.,Duncan,8858216200,Mitch J. Duncan
7,A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Corneel,Vandelanotte,15926457000,Corneel Vandelanotte
8,Using exercise to fight depression in older adults,Stephan,Heinzel,25223351500,Stephan Heinzel
8,Using exercise to fight depression in older adults,Jimmy B.,Lawrence,57109747500,Jimmy B. Lawrence
8,Using exercise to fight depression in older adults,Gunnar,Kallies,57110455700,Gunnar Kallies
8,Using exercise to fight depression in older adults,Michael A.,Rapp,56577545000,Michael A. Rapp
8,Using exercise to fight depression in older adults,Andreas,Heissel,57110279600,Andreas Heissel
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Brendon,Stubbs,57204891343,Brendon Stubbs
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Davy,Vancampfort,26326634000,Davy Vancampfort
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Simon,Rosenbaum,45761309400,Simon Rosenbaum
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Philip B.,Ward,7402102266,Philip B. Ward
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Justin,Richards,56949738900,Justin Richards
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Andrew,Soundy,23006632000,Andrew Soundy
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Nicola,Veronese,36998781200,Nicola Veronese
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Marco,Solmi,6507233742,Marco Solmi
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Felipe B.,Schuch,14016488400,Felipe B. Schuch
10,Exercise and depressive symptoms in older adults: a systematic meta-analytic review,Kathleen T.,Rhyner,56538172100,Kathleen T. Rhyner
10,Exercise and depressive symptoms in older adults: a systematic meta-analytic review,Amber,Watts,8404566600,Amber Watts
