Our ID,Our Item Type,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,URL,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Publisher,Place,Language,Type,Our Sorting Date,Our Note
1,ReviewArticle,journalArticle,2013,"Mura, Gioia;Carta, Mauro Giovanni",Physical activity in depressed elderly. a systematic review,Clinical Practice & Epidemiology in Mental Health,1745-0179,10.2174/1745017901309010125,https://clinical-practice-and-epidemiology-in-mental-health.com/VOLUME/9/PAGE/125/,"Objective: to establish the new findings on the effectiveness of exercise on depression in elderlies, with particular focus on the efficacy of the exercise as an adjunctive treatment with antidepressants drug therapy. Method: the search of significant articles was carried out in PubMed/Medline with the following key words: “exercise”, “physical activity”, “physical fitness”, “depressive disorder”, “depression”, “depressive symptoms”, “late life”, “old people”, and “elderly”. Results: 44 papers were retrieved by the search. Among the 10 included randomized controlled trials, treatment allocation was adequately conceived in 4 studies, intention-to-treat analysis was performed in 6 studies, but no study had a doubleblinded assessment. We examined and discussed the results of all these trials. Conclusion: in the last 20 years, few progresses were done in showing the efficacy of exercise on depression, due in part to the persistent lack of high quality research, in part to clinical issues of management of depression in late life, in part to the difficult to establish the real effectiveness of exercise on depressive symptoms in elderlies. However, there are some promising findings on physical activity combined with antidepressants in treatment resistant late life depression.",7/12/2013,125-135,,1,9,,,en,,7/12/2013,
2,ReviewArticle,journalArticle,2013,"Cooney, Gary M;Dwan, Kerry;Greig, Carolyn A;Lawlor, Debbie A;Rimer, Jane;Waugh, Fiona R;McMurdo, Marion;Mead, Gillian E",Exercise for depression,Cochrane Database of Systematic Reviews,14651858,10.1002/14651858.CD004366.pub6,http://doi.wiley.com/10.1002/14651858.CD004366.pub6,"Background Depression is a common and important cause of morbidity and mortality worldwide. Depression is commonly treated with antidepressants and/or psychological therapy, but some people may prefer alternative approaches such as exercise. There are a number of theoretical reasons why exercise may improve depression. This is an update of an earlier review ﬁrst published in 2009.",9/12/2013,CD004366,,9,2013,,,en,,9/12/2013,
3,ReviewArticle,journalArticle,2013,"Mammen, George;Faulkner, Guy",Physical activity and the prevention of depression,American Journal of Preventive Medicine,7493797,10.1016/j.amepre.2013.08.001,https://linkinghub.elsevier.com/retrieve/pii/S0749379713004510,,2013-11,649-657,,5,45,,,en,,11/1/2013,
4,ReviewArticle,journalArticle,2013,"Cramer, Holger;Lauche, Romy;Langhorst, Jost;Dobos, Gustav",Yoga for depression: a systematic review and meta-analysis: review: yoga for depression: a meta-analysis,Depression and Anxiety,10914269,10.1002/da.22166,http://doi.wiley.com/10.1002/da.22166,"OR dhyana[Title/Abstract]). The search strategy was adapted for each database as necessary. The System for Information on Grey Literature in Europe (http://www.opengrey.eu/), CAM-Quest (www.cam-quest.org), CAMbase (http://www.cambase.de), and ResearchGate (www.researchgate.net) were additionally searched to locate gray literature.",2013-11,1068-1083,,11,30,,,en,,11/1/2013,
5,ReviewArticle,journalArticle,2014,"Josefsson, T.;Lindwall, M.;Archer, T.",Physical exercise intervention in depressive disorders: Meta-analysis and systematic review: Exercise intervention in depressive disorders,Scandinavian Journal of Medicine & Science in Sports,9057188,10.1111/sms.12050,http://doi.wiley.com/10.1111/sms.12050,,2014-04,259-272,,2,24,,,en,,4/1/2014,
6,ReviewArticle,journalArticle,2015,"Nyström, Markus B.T.;Neely, Gregory;Hassmén, Peter;Carlbring, Per",Treating major depression with physical activity: a systematic overview with recommendations,Cognitive Behaviour Therapy,"1650-6073, 1651-2316",10.1080/16506073.2015.1015440,http://www.tandfonline.com/doi/full/10.1080/16506073.2015.1015440,"The purpose of this systematic overview was to determine the most effective mode and dose of physical activity (PA) for treating major depressive disorder (MDD), and to suggest guidelines and recommendations for clinicians. The selection process consisted of a comprehensive search that was conducted up until April 2014 in the following databases: PsycINFO, Medline, PubMed and Scopus. The inclusion criteria were: (1) a randomized controlled trial (RCT) design, (2) complete description of intensity, duration and frequency of the PA, (3) the participants had to be diagnosed with MDD according to Diagnostic Statistical Manual 4 th edition (DSM-IV) or International Classiﬁcation of Disease tenth Revision (ICD-10) criteria (4) if the controls received any treatment, it had to be speciﬁed, (5) published after 1990, (6) consist of aerobic or anaerobic treatment PA, and (7) not be a pilotor preliminary study. A quality assessment of each study was conducted independently by two reviewers; this stringent selection process resulted in 12 reviewed studies. Conclusion: individually customized PA, for at least 30 minutes, preferably performed under supervision and with a frequency of at least three times per week is recommended when treating MDD. These recommendations must be viewed in light of the relatively few studies matching the inclusion criteria. Key words: depression; physical activity; treatment; major depression; RCT.",7/4/2015,341-352,,4,44,,,en,,7/4/2015,
7,ReviewArticle,journalArticle,2015,"Rebar, Amanda L.;Stanton, Robert;Geard, David;Short, Camille;Duncan, Mitch J.;Vandelanotte, Corneel",A meta-meta-analysis of the effect of physical activity on depression and anxiety in non-clinical adult populations,Health Psychology Review,"1743-7199, 1743-7202",10.1080/17437199.2015.1022901,https://www.tandfonline.com/doi/full/10.1080/17437199.2015.1022901,,8/7/2015,366-378,,3,9,,,en,,8/7/2015,
8,ReviewArticle,journalArticle,2015,"Heinzel, Stephan;Lawrence, Jimmy B.;Kallies, Gunnar;Rapp, Michael A.;Heissel, Andreas",Using exercise to fight depression in older adults,GeroPsych,1662-9647,10.1024/1662-9647/a000133,https://econtent.hogrefe.com/doi/10.1024/1662-9647/a000133,". Depression is the most prevalent psychiatric disorder in the general population. Despite a large demand for efficient treatment options, the majority of older depressed adults does not receive adequate treatment: Additional low-threshold treatments are needed for this age group. Over the past two decades, a growing number of randomized controlled trials (RCT) have been conducted, testing the efficacy of physical exercise in the alleviation of depression in older adults. This meta-analysis systematically reviews and evaluates these studies; some subanalyses testing specific effects of different types of exercise and settings are also performed. In order to be included, exercise programs of the RCTs had to fulfill the criteria of exercise according to the American College of Sports Medicine, including a sample mean age of 60 or above and an increased level of depressive symptoms. Eighteen trials with 1,063 participants fulfilled our inclusion criteria. A comparison of the posttreatment depression scores between the exercise and control groups revealed a moderate effect size in favor of the exercise groups (standardized mean difference (SMD) of –0.68, p < .001). The effect was comparable to the results achieved when only the eleven trials with low risk of bias were included (SMD = –0.63, p < .001). The subanalyses showed significant effects for all types of exercise and for supervised interventions. The results of this meta-analysis suggest that physical exercise may serve as a feasible, additional intervention to fight depression in older adults. However, because of small sample sizes of the majority of individual trials and high statistical heterogeneity, results must be interpreted carefully.",11/26/2015,149-162,,4,28,,,en,,11/26/2015,
9,ReviewArticle,journalArticle,2016,"Stubbs, Brendon;Vancampfort, Davy;Rosenbaum, Simon;Ward, Philip B.;Richards, Justin;Soundy, Andrew;Veronese, Nicola;Solmi, Marco;Schuch, Felipe B.",Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Journal of Affective Disorders,1650327,10.1016/j.jad.2015.10.019,https://linkinghub.elsevier.com/retrieve/pii/S016503271530882X,"Objective: Exercise has established efﬁcacy in improving depressive symptoms. Dropouts from randomized controlled trials (RCT’s) pose a threat to the validity of this evidence base, with dropout rates varying across studies. We conducted a systematic review and meta-analysis to investigate the prevalence and predictors of dropout rates among adults with depression participating in exercise RCT’s. Method: Three authors identiﬁed RCT’s from a recent Cochrane review and conducted updated searches of major electronic databases from 01/2013 to 08/2015. We included RCT’s of exercise interventions in people with depression (including major depressive disorder (MDD) and depressive symptoms) that reported dropout rates. A random effects meta-analysis and meta regression were conducted. Results: Overall, 40 RCT’s were included reporting dropout rates across 52 exercise interventions including 1720 people with depression (49.1 years (range¼19–76 years), 72% female (range¼0–100)). The trim and ﬁll adjusted prevalence of dropout across all studies was 18.1% (95%CI ¼15.0–21.8%) and 17.2% (95%CI ¼ 13.5–21.7, N¼ 31) in MDD only. In MDD participants, higher baseline depressive symptoms (β¼ 0.0409, 95%CI ¼ 0.0809–0.0009, P ¼0.04) predicted greater dropout, whilst supervised interventions delivered by physiotherapists (β¼ À 1.2029, 95%CI ¼ À 2.0967 to À 0.3091, p¼ 0.008) and exercise physiologists (β ¼ À 1.3396, 95%CI ¼ À 2.4478 to À 0.2313, p ¼0.01) predicted lower dropout. A comparative meta-analysis (N¼ 29) established dropout was lower in exercise than control conditions (OR¼ 0.642, 95%CI ¼ 0.43–0.95, p¼ 0.02). Conclusions: Exercise is well tolerated by people with depression and drop out in RCT’s is lower than control conditions. Thus, exercise is a feasible treatment, in particular when delivered by healthcare professionals with speciﬁc training in exercise prescription.",2016-01,457-466,,,190,,,en,,1/1/2016,
10,ReviewArticle,journalArticle,2016,"Rhyner, Kathleen T.;Watts, Amber",Exercise and depressive symptoms in older adults: a systematic meta-analytic review,Journal of Aging and Physical Activity,"1063-8652, 1543-267X",10.1123/japa.2015-0146,https://journals.humankinetics.com/view/journals/japa/24/2/article-p234.xml,"Depressive symptoms are common in older adults, but antidepressant medications may be contraindicated or poorly tolerated in this population. Intervention studies demonstrate that exercise may be an effective alternative. This meta-analysis included 41 randomized controlled trials of aerobic and nonaerobic exercise interventions investigating the effect of exercise on depressive symptoms in adults aged 60 or older. A random effects model demonstrated that exercise was associated with significantly lower depression severity (SMD = 0.57, 95% CI 0.36–0.78). This effect was not significantly different for different ages of participants, types of control groups, or types of exercise interventions. Studies requiring a diagnosis of depression had significantly greater mean effect sizes than studies that did not require a depression diagnosis (Qbet = 6.843, df = 1, p = .009). These findings suggest that exercise is an effective treatment option for older individuals with depressive symptoms.",2016-04,234-246,,2,24,,,en,,4/1/2016,
11,ReviewArticle,journalArticle,2016,"Schuch, F.B.;Dunn, A.L.;Kanitz, A.C.;Delevatti, R.S.;Fleck, M.P.",Moderators of response in exercise treatment for depression: A systematic review,Journal of Affective Disorders,1650327,10.1016/j.jad.2016.01.014,https://linkinghub.elsevier.com/retrieve/pii/S016503271531051X,"Introduction: Exercise have antidepressant effects in people with Major Depressive Disorder (MDD). However, about to half of patients do not respond to exercise. The identiﬁcation of factors that moderates the antidepressant effects of exercise in people with MDD may help researchers and health professionals to identify sub-groups of patients that would beneﬁt more from exercise. Methods: A systematic review was carried out using Medline(PubMed), EMBASE and psycINFO up to April 2015. Individual and composite moderators were summarized and the strength of the evidence was assessed. Results: Eleven studies were included for review resulting in the identiﬁcation of potential individual (two biological, three clinical, two psychological and two social individual) and two potential composite moderators (the interaction between BDNF and Body Mass Index (BMI) and between family history of mental illness and gender). Only the two biological features and the BDNF x BMI interaction provided conﬁrmatory evidence. Limitations: Due the different statistical approaches used in the studies, it was not possible to perform meta-analyses. The small number of studies and the exploratory nature of the evidence limits a wider generalization of the ﬁndings. Conclusion: Potential clinical, psychological, social or biological moderators were identiﬁed. However, the small number of studies and the limited strength of the evidence requires further studies before drawn deﬁnitive results. Further trials should consider the inclusion of moderators analysis using an a-priori, theoretical/evidence based hypothesis in order to provide high quality evidence for the use of personalized medicine in exercise for depression.",2016-05,40-49,,,195,,,en,,5/1/2016,
