citing_ID,cited_ID
1,26
1,42
1,38
1,32
1,29
1,43
2,29
2,26
2,32
2,38
2,42
2,43
3,29
3,26
3,32
3,38
3,42
3,43
4,27
4,31
4,33
4,39
4,45
4,47
4,49
4,52
4,53
4,55
4,58
4,61
4,59
4,34
4,56
5,38
5,32
5,60
5,42
5,43
5,29
5,26
5,51
6,51
6,29
6,43
6,60
6,26
6,38
6,42
6,32
7,58
7,61
7,73
7,82
7,30
7,53
7,49
7,33
7,70
7,31
7,47
7,45
8,33
8,52
8,59
8,55
8,69
8,53
8,45
8,27
8,58
8,49
8,74
8,77
8,39
8,47
8,61
8,56
8,26
8,29
8,32
8,34
8,38
8,42
8,43
9,27
9,32
9,33
9,38
9,39
9,45
9,47
9,49
9,52
9,53
9,55
9,56
9,69
9,58
9,59
9,61
9,74
9,77
10,48
10,50
10,60
10,63
10,64
10,75
11,52
11,59
11,81
11,58
11,49
11,77
11,66
11,61
11,79
11,65
11,84
11,80
11,70
11,74
11,55
11,56
11,69
11,87
11,68
11,71
11,63
11,60
11,64
11,53
11,75
12,29
12,32
12,38
12,51
12,54
12,67
12,83
13,68
13,80
13,79
13,69
13,81
13,74
13,76
13,72
13,77
13,46
13,66
13,56
13,71
13,58
13,31
13,47
13,55
13,49
13,45
13,53
13,41
13,39
13,27
13,61
13,33
13,43
13,51
13,59
13,78
14,79
14,47
14,33
14,45
14,39
14,77
14,49
14,53
14,82
14,61
14,62
