ID,title,author_given_name,author_surname,author_id,organizational_author,manual
1,Systematic review of long term effects of advice to reduce dietary salt in adults,Lee,Hooper,57202855325,NA,FALSE
1,Systematic review of long term effects of advice to reduce dietary salt in adults,Christopher,Bartlett,57194377301,NA,FALSE
1,Systematic review of long term effects of advice to reduce dietary salt in adults,George Davey,Smith,35354080500,NA,FALSE
1,Systematic review of long term effects of advice to reduce dietary salt in adults,Shah,Ebrahim,7102093023,NA,FALSE
2,Reduced dietary salt for prevention of cardiovascular disease,L.,Hooper,57202855325,NA,FALSE
2,Reduced dietary salt for prevention of cardiovascular disease,C.,Bartlett,57194377301,NA,FALSE
2,Reduced dietary salt for prevention of cardiovascular disease,G.,Davey Smith,35354080500,NA,FALSE
2,Reduced dietary salt for prevention of cardiovascular disease,S.,Ebrahim,7102093023,NA,FALSE
3,Advice to reduce dietary salt for prevention of cardiovascular disease,Lee,Hooper,57202855325,NA,FALSE
3,Advice to reduce dietary salt for prevention of cardiovascular disease,Christopher,Bartlett,57194377301,NA,FALSE
3,Advice to reduce dietary salt for prevention of cardiovascular disease,George,Davey Smith,35354080500,NA,FALSE
3,Advice to reduce dietary salt for prevention of cardiovascular disease,Shah,Ebrahim,7102093023,NA,FALSE
4,"Salt intake, stroke, and cardiovascular disease: meta-analysis of prospective studies",Pasquale,Strazzullo,7005192838,NA,FALSE
4,"Salt intake, stroke, and cardiovascular disease: meta-analysis of prospective studies",Lanfranco,D'Elia,57013454700,NA,FALSE
4,"Salt intake, stroke, and cardiovascular disease: meta-analysis of prospective studies",Ngianga Bakwin,Kandala,21834203800,NA,FALSE
4,"Salt intake, stroke, and cardiovascular disease: meta-analysis of prospective studies",Francesco P.,Cappuccio,7006704793,NA,FALSE
5,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),Rod S.,Taylor,55628530729,NA,FALSE
5,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),Kate E.,Ashton,26644694600,NA,FALSE
5,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),Tiffany,Moxham,26657630700,NA,FALSE
5,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),Lee,Hooper,57202855325,NA,FALSE
5,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),Shah,Ebrahim,7102093023,NA,FALSE
7,High salt intake and stroke: meta-analysis of the epidemiologic evidence,Xiu Yang,Li,8637630800,NA,FALSE
7,High salt intake and stroke: meta-analysis of the epidemiologic evidence,Xian Lei,Cai,57222968090,NA,FALSE
7,High salt intake and stroke: meta-analysis of the epidemiologic evidence,Ping Da,Bian,56539588600,NA,FALSE
7,High salt intake and stroke: meta-analysis of the epidemiologic evidence,Liu Ru,Hu,55260676500,NA,FALSE
9,Effect of lower sodium intake on health: systematic review and meta-analyses,Nancy J.,Aburto,8739842100,NA,FALSE
9,Effect of lower sodium intake on health: systematic review and meta-analyses,Anna,Ziolkovska,42062716900,NA,FALSE
9,Effect of lower sodium intake on health: systematic review and meta-analyses,Lee,Hooper,57202855325,NA,FALSE
9,Effect of lower sodium intake on health: systematic review and meta-analyses,Paul,Elliott,26643338400,NA,FALSE
9,Effect of lower sodium intake on health: systematic review and meta-analyses,Francesco P.,Cappuccio,7006704793,NA,FALSE
9,Effect of lower sodium intake on health: systematic review and meta-analyses,Joerg J.,Meerpohl,22835812000,NA,FALSE
12,Reduced dietary salt for the prevention of cardiovascular disease,Alma J.,Adler,53879483800,NA,FALSE
12,Reduced dietary salt for the prevention of cardiovascular disease,Fiona,Taylor,7202563279,NA,FALSE
12,Reduced dietary salt for the prevention of cardiovascular disease,Kate E.,Ashton,26644694600,NA,FALSE
12,Reduced dietary salt for the prevention of cardiovascular disease,Nicole,Martin,56560532000,NA,FALSE
12,Reduced dietary salt for the prevention of cardiovascular disease,Sheldon,Gottlieb,35492452300,NA,FALSE
12,Reduced dietary salt for the prevention of cardiovascular disease,Shah,Ebrahim,7102093023,NA,FALSE
13,"Compared with usual sodium intake, low- and excessive-sodium diets are associated with increased mortality: a meta-analysis",Niels,Graudal,7006599533,NA,FALSE
13,"Compared with usual sodium intake, low- and excessive-sodium diets are associated with increased mortality: a meta-analysis",Gesche,J??rgens,57207747971,NA,FALSE
13,"Compared with usual sodium intake, low- and excessive-sodium diets are associated with increased mortality: a meta-analysis",Bo,Baslund,6701723275,NA,FALSE
13,"Compared with usual sodium intake, low- and excessive-sodium diets are associated with increased mortality: a meta-analysis",Michael H.,Alderman,57059210000,NA,FALSE
26,Hypertension treated by salt restriction,T.,Morgan,7202131153,NA,FALSE
26,Hypertension treated by salt restriction,W.,Adam,7402929833,NA,FALSE
26,Hypertension treated by salt restriction,A.,Gillies,7006126585,NA,FALSE
26,Hypertension treated by salt restriction,M.,Wilson,23568884900,NA,FALSE
26,Hypertension treated by salt restriction,G.,Morgan,57196932500,NA,FALSE
26,Hypertension treated by salt restriction,S.,Carney,35551905400,NA,FALSE
27,Dietary and other risk factors for stroke in Hawaiian Japanese men,A.,Kagan,57207905596,NA,FALSE
27,Dietary and other risk factors for stroke in Hawaiian Japanese men,J. S.,Popper,6701423169,NA,FALSE
27,Dietary and other risk factors for stroke in Hawaiian Japanese men,G. G.,Rhoads,56679487000,NA,FALSE
27,Dietary and other risk factors for stroke in Hawaiian Japanese men,K.,Yano,7402402501,NA,FALSE
30,Lifestyle factors and risk of cerebral infarction,Erik Folmer,Ellekjaer,6602720330,NA,FALSE
30,Lifestyle factors and risk of cerebral infarction,Torgeir Bruun,Wyller,7006685915,NA,FALSE
30,Lifestyle factors and risk of cerebral infarction,Jan Marcus,Sverre,6603292281,NA,FALSE
30,Lifestyle factors and risk of cerebral infarction,Jostein,Holmen,7004440499,NA,FALSE
31,Incidence of stroke in Taiwan,Han Hwa,Hu,7404097786,NA,FALSE
31,Incidence of stroke in Taiwan,Wen Yung,Sheng,7103379311,NA,FALSE
31,Incidence of stroke in Taiwan,Fu Li,Chu,12781143700,NA,FALSE
31,Incidence of stroke in Taiwan,Chung Fu,Lan,16162232500,NA,FALSE
31,Incidence of stroke in Taiwan,Benjamin N.,Chiang,7201942694,NA,FALSE
33,Low urinary sodium is associated with greater risk of myocardial infarction among treated hypertensive men,Michael H.,Alderman,57059210000,NA,FALSE
33,Low urinary sodium is associated with greater risk of myocardial infarction among treated hypertensive men,Shantha,Madhavan,7006217003,NA,FALSE
33,Low urinary sodium is associated with greater risk of myocardial infarction among treated hypertensive men,Hillel,Cohen,7402808799,NA,FALSE
33,Low urinary sodium is associated with greater risk of myocardial infarction among treated hypertensive men,Jean E.,Sealey,7006054977,NA,FALSE
33,Low urinary sodium is associated with greater risk of myocardial infarction among treated hypertensive men,John H.,Laragh,57217506894,NA,FALSE
34,Urinary sodium excretion and myocardial infarction in hypertensive patients: A prospective cohort study,Michael,Alderman,57059210000,NA,FALSE
34,Urinary sodium excretion and myocardial infarction in hypertensive patients: A prospective cohort study,Jean,Sealey,7006054977,NA,FALSE
34,Urinary sodium excretion and myocardial infarction in hypertensive patients: A prospective cohort study,Hillel,Cohen,7402808799,NA,FALSE
34,Urinary sodium excretion and myocardial infarction in hypertensive patients: A prospective cohort study,Shantha,Madhavan,7006217003,NA,FALSE
34,Urinary sodium excretion and myocardial infarction in hypertensive patients: A prospective cohort study,John,Laragh,57217506894,NA,FALSE
39,Comparison of the prediction by 27 different factors of coronary heart disease and death in men and women of the Scottish heart health study: cohort study,Hugh,Tunstall-Pedoe,7006489385,NA,FALSE
