ID,short_name,attitude,no_of_studies_included,no_of_reports_included,included_report_included_in_Trinquart_data,study_design,study_design_unified,population,population_unified,exposure_intervention,exposure_intervention_unified,outcome,language_restriction,follow_up_period,follow_up_period_unified,last_search_year,last_search_month,last_search_day,notes
1,Hooper2002,inconclusive,10,11,6,randomized controlled trial,RCT,"not children, acutely ill, pregnant, or institutionalised",non-acutely ill adults,"the intervention aimed to reduce sodium intake, the intervention was not multifactorial",reduced salt intake,"mortality, cardiovascular events, blood pressure, urinary sodium excretion, quality of life, and use of antihypertensive drugs",no,at least 6 months,at least 6 months,2000,7,NA,NA
2,Hooper2003,inconclusive,11,44,6,randomized controlled trial,RCT,"not children, acutely ill, pregnant or institutionalised",non-acutely ill adults,the interventions included were designed to reduce sodium intake.,reduced salt intake,"primary outcome: The main outcomes were total mortality and combined cardiovascular events (including fatal and non-fatal myocardial infarction, stroke, angina, heart failure, peripheral vascular events, sudden death and non-scheduled cardiovascular interventions - coronary artery bypass surgery or angioplasty)secondary outcome: Changes in systolic and diastolic blood pressure (mm Hg), quality of life, weight (kg), nutrient intakes, urinary sodium excretion (mmol/24 hours) and numbers and doses of anti-hypertensive medication used.",no,at least 6 months,at least 6 months,1998,5,NA,NA
3,Hooper2004,inconclusive,11,44,6,randomized controlled trial,RCT,"not children, acutely ill, pregnant or institutionalised",non-acutely ill adults,the intervention aimed to reduce sodium intake; the intervention was not multifactorial,reduced salt intake,"primary outcomes: The main outcomes were total mortality and combined cardiovascular events (including fatal and non-fatal myocardial infarction, stroke, angina, heart failure, peripheral vascular events, sudden death and non-scheduled cardiovascular interventions coronary artery bypass surgery or angioplasty). Both of these outcomes were examined as relative risk in the intervention vs control group at the latest time point available. Secondary outcomes: Changes in systolic and diastolic blood pressure (mm Hg), quality of life, weight (kg), nutrient intakes, urinary sodium excretion (mmol/24 hours) and numbers and doses of anti-hypertensive medication used. These were assessed at intermediate (6 months to and including 12 months), late (13 to 60 months) and very late follow up (over 60 months).",no,at least 6 months,at least 6 months,1998,5,NA,SR3 did not change included studies.
4,Strazzullo2009,for,13,13,13,prospective adult population study,Cohort,adults,adults,assess salt intake as baseline exposure,salt intake,stroke or total cardiovascular disease,no,at least 3 years,at least 36 months,2008,12,NA,Paper 55 should be cohort
5,Taylor2011a,inconclusive,7,39,9,randomized controlled trial,RCT,adults,adults,"reduced dietary salt and could include studies that involved participants receiving a dietary intervention that restricted salt or studies where the interventionwas advised to reduce salt intake",reduced salt intake,mortality or CVD morbidity data,no,at least 6 months,at least 6 months,2011,3,NA,SR5 and SR6 are similar.
6,Taylor2011b,inconclusive,6,26,8,randomized controlled trial,RCT,adults,adults,the intervention was reduced dietary salt (through advice to reduce salt intake or low-sodium salt substitution),reduced salt intake,"Primary outcomes Mortality (overall and cardiovascular), cardiovascular morbidity (including fatal and non-fatal myocardial infarction, stroke, angina, heart failure, peripheral vascular events, sudden death, revascularisation [coronary artery bypass surgery or angioplasty with or without stenting] and cardiovascular related hospital admissions). Primary outcomes were assessed at study end, and also at the latest trial follow up where participants had been followed observationally after the end of the original trial. Secondary outcomes In studies that reported primary outcomes we also sought the following secondary outcomes: systolic and diastolic blood pressure, and urinary salt excretion (or other method of estimation of salt intake) and health related quality of life using a validated outcome measure.",no,at least 6 months,at least 6 months,2008,11,NA,"SR6 excluded article 55, the only difference between SR5 and SR6"
7,Li2012,for,12,12,12,a prospective population study and case-contro study,Cohort and Case-control,adults,adults,assess salt intake as baseline exposure,salt intake,stroke event,Chinese and English,follow participants for at least 3 years,at least 36 months,2012,1,NA,SR7 only considers stroke events
8,Aburto2012,for,15,21,21,randomized controlled trial and prospective cohort study,RCT and Cohort,"those involving adults (≥ 16 years of age) of either gender, from the general population (free living) or specific groups; apparently healthy populations; individuals with chronic conditions such as overweight or obesity, diabetes or chronic nephrolithiasis; excluded studies targeting those who were acutely ill or infected with HIV",non-acutely ill adults,"included a quantitative measure of exposure (sodium intake) and compared this with an outcome of interest, or compared groups consuming different levels of sodium",salt intake,"cardiovascular disease, stroke, coronary heart disease, all cause mortality",no,at least a year,at least 12 months,2011,8,NA,NA
9,Aburto2013,for,73,73,21,randomized controlled trial and prospective cohort study,RCT and Cohort,non-acutely ill adults and children,non-acutely ill adults and children,sodium intake,salt intake,"blood pressure, renal function, blood lipids and catecholamine velves, and in non-actuely ill adults all cause mortality, cardiovascular disease, stroke and coronary heart disease. ",no,no restriction,no restriction,2011,8,NA,"SR8 and SR9 are similar. SR9 included blood pressure as an outcome, while SR8 did not. Also, SR9 included study in children (10 studies). Based on the words used in SR9, they equate studies with articles. "
10,DiNicolantonio2012,against,6,6,6,randomized controlled trial,RCT,adults (18 years or older) with systolic HF (left ventricular ejection fraction <40%),adults with HF,reduced dietary salt,reduced salt intake,mortality and HF-related hospital admissions,English,at least 1 month,at least 1 month,2012,8,NA,NA
11,IOM2013,against,25,29,27,all study design except case studies and case series,ALL,all population,all population,unspecified,unspecified,"cardiovascular disease, stroke, mortality",English,no restriction,no restriction,2012,12,8,"only consider articles in the section of CVD, stroke, and mortality. IOM report searched literature published after 2003"
12,Adler2013,inconclusive,NA,NA,9,randomized controlled trial,RCT,adults,adults,reduced salt intake as intervention,reduced salt intake,"all-cause mortality, Cardiovascular mortality, cardiovascular morbidity",no,at least 6 months,at least 6 months,NA,NA,NA,"withdrawn, entry based on updated version. History shows that there is no change in inclusion criteria, so inclusion criteria can be extracted. However, it is inappropriate to use the search date and inclusion criteria based on the updated version because (1) we don't know whether the authors performed new search; (2) we know included studies have been changed. Therefore, no_of_studies_included, no_of_article_included, last_search_year, last_search_month, last_search_day are left as NA"
13,Graudal2014,against,23,26,26,cohort study,Cohort,all population,all population,"24-hour urine secretions, spot urine secretions, or dietary anamnesis",urine and salt intake,"(i) ACM (primary outcome); (ii) CVD outcome, combined data of mortality and event; (iii) stroke outcome, combined data of mortality and event; (iv)HD outcome, combined data of mortality and event; (v) composite outcome: the outcome (ACM, CVD, stroke, or HD) with the largest incidence of events",no,no restriction,no restriction,2012,12,9,"Though the intial inclusion criteria wanted to include RCT, ""because only 2 assessable RCTs (3 articles)41–43 were identified, the separate investigation of RCTs was cancelled"""
14,Poggio2014,for,NA,11,11,prospective study,Cohort,exclude studies that populations were selected by a particular cardiovascular risk factor or CVD,all population except people with cardiovascular risk factor or CVD,daily sodium intake,salt intake,mortality,no,no restriction,no restriction,2013,9,NA,"only articles counted, did not group into studies, therefore no_of_studies_included is NA."
