ID,original_title,scp_title,title_match(true/false),author_given_name,author_surname,author_id
1,Systematic review of long term effects of advice to reduce dietary salt in adults,Systematic review of long term effects of advice to reduce dietary salt in adults,True,Lee,Hooper,57202855325
1,Systematic review of long term effects of advice to reduce dietary salt in adults,Systematic review of long term effects of advice to reduce dietary salt in adults,True,Christopher,Bartlett,57194377301
1,Systematic review of long term effects of advice to reduce dietary salt in adults,Systematic review of long term effects of advice to reduce dietary salt in adults,True,George Davey,Smith,35354080500
1,Systematic review of long term effects of advice to reduce dietary salt in adults,Systematic review of long term effects of advice to reduce dietary salt in adults,True,Shah,Ebrahim,7102093023
2,Reduced dietary salt for prevention of cardiovascular disease,Reduced dietary salt for prevention of cardiovascular disease,True,L.,Hooper,57202855325
2,Reduced dietary salt for prevention of cardiovascular disease,Reduced dietary salt for prevention of cardiovascular disease,True,C.,Bartlett,57194377301
2,Reduced dietary salt for prevention of cardiovascular disease,Reduced dietary salt for prevention of cardiovascular disease,True,G.,Davey Smith,35354080500
2,Reduced dietary salt for prevention of cardiovascular disease,Reduced dietary salt for prevention of cardiovascular disease,True,S.,Ebrahim,56500020000
3,Advice to reduce dietary salt for prevention of cardiovascular disease,Advice to reduce dietary salt for prevention of cardiovascular disease,True,Lee,Hooper,57202855325
3,Advice to reduce dietary salt for prevention of cardiovascular disease,Advice to reduce dietary salt for prevention of cardiovascular disease,True,Christopher,Bartlett,57194377301
3,Advice to reduce dietary salt for prevention of cardiovascular disease,Advice to reduce dietary salt for prevention of cardiovascular disease,True,George,Davey Smith,57220145221
3,Advice to reduce dietary salt for prevention of cardiovascular disease,Advice to reduce dietary salt for prevention of cardiovascular disease,True,Shah,Ebrahim,56500020000
4,"Salt intake, stroke, and cardiovascular disease: meta-analysis of prospective studies","Salt intake, stroke, and cardiovascular disease: Meta-analysis of prospective studies",True,Pasquale,Strazzullo,7005192838
4,"Salt intake, stroke, and cardiovascular disease: meta-analysis of prospective studies","Salt intake, stroke, and cardiovascular disease: Meta-analysis of prospective studies",True,Lanfranco,D'Elia,57013454700
4,"Salt intake, stroke, and cardiovascular disease: meta-analysis of prospective studies","Salt intake, stroke, and cardiovascular disease: Meta-analysis of prospective studies",True,Ngianga Bakwin,Kandala,21834203800
4,"Salt intake, stroke, and cardiovascular disease: meta-analysis of prospective studies","Salt intake, stroke, and cardiovascular disease: Meta-analysis of prospective studies",True,Francesco P.,Cappuccio,7006704793
5,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),Reduced dietary salt for the prevention of cardiovascular disease: A meta-analysis of randomized controlled trials (cochrane review),True,Rod S.,Taylor,55628530729
5,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),Reduced dietary salt for the prevention of cardiovascular disease: A meta-analysis of randomized controlled trials (cochrane review),True,Kate E.,Ashton,26644694600
5,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),Reduced dietary salt for the prevention of cardiovascular disease: A meta-analysis of randomized controlled trials (cochrane review),True,Tiffany,Moxham,26657630700
5,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),Reduced dietary salt for the prevention of cardiovascular disease: A meta-analysis of randomized controlled trials (cochrane review),True,Lee,Hooper,57202855325
5,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),Reduced dietary salt for the prevention of cardiovascular disease: A meta-analysis of randomized controlled trials (cochrane review),True,Shah,Ebrahim,7102093023
6,Reduced dietary salt for the prevention of cardiovascular disease,Reduced dietary salt for the prevention of cardiovascular disease: A meta-analysis of randomized controlled trials (cochrane review),False,Rod S.,Taylor,55628530729
6,Reduced dietary salt for the prevention of cardiovascular disease,Reduced dietary salt for the prevention of cardiovascular disease: A meta-analysis of randomized controlled trials (cochrane review),False,Kate E.,Ashton,26644694600
