author_id,no_of_names,full_name
1,4,J Cohen
1,4,JD Cohen
1,4,Jerome D. Cohen
5,2,Jeanne Charleston
16,2,Albert Oberman
17,2,Janet Raines
18,3,Nemat O. Borhani
19,2,Patty Borhani
19,2,Patricia Borhani
20,2,Carolyn Sugars
22,2,Sheila Corrigan
31,3,Arlene W. Caggiula
32,2,N. Carole Milas
33,2,Monica E. Yamamoto
33,2,Monica Yamamoto
40,2,Arlene Taylor Dalcin
40,2,Arlene Dalcin
46,2,W. Gordon Walker
49,2,James Raczynski
60,2,James O. Taylor
67,2,Mary Cameron
67,2,Mary E. Cameron
69,2,Amy Brewer
71,2,Stephen Miller
71,2,Stephen T. Miller
73,2,Judy Randle
74,2,Jay Sullivan
76,2,David M. Batey
77,2,Lee Dolan
80,2,Vera I. Lasser
82,2,Thomas M. Vogt
85,2,Victor Stevens
87,2,Mildred Mattfeldt-Beman
90,2,Lana Shepek
91,2,Charles H. Hennekens
92,2,Ellie Danielson
95,2,Patricia Hebert
96,2,Jean MacFadyen
98,2,Bernard Rosner
101,2,Martin Van Denburgh
107,2,Andrea Dommeyer
108,2,Ivan Mills
110,2,Margo Woods
112,2,Elaine Blethen
6506669400,2,Aila Ahola
6601967008,3,Terry A. Lennie
6601967008,3,TA Lennie
6601969055,2,Lydia A. Bazzano
6601984726,2,Steven Folmar
6602976862,2,Markku Saraheimo
6603823764,2,Sergio Cannizzaro
6603945923,2,Marco Giammanco
7003464052,2,Kathryn M. Rexrode
7004152046,2,Carol Forsblom
7004280517,2,Pirjo Pietinen
7004307683,2,Lorraine G. Ogden
7004487795,5,Gaspare Parrinello
7004668410,2,Catherine Loria
7004702187,2,Chigusa Date
7004891687,3,William B. Applegate
7005017834,2,Per Henrik Groop
7005747309,6,Salvatore Paterna
7006054977,2,Jean E. Sealey
7006054977,2,Jean Sealey
7006217003,3,Shantha Madhavan
7006484941,7,Pietro Di Pasquale
7006484941,7,P DiPasquale
7006694590,4,Eva Obarzanek
7006704793,2,Francesco P. Cappuccio
7006797376,2,Akiko Tamakoshi
7007180724,2,Sandra B. Dunbar
7101785555,3,Debra K. Moser
7101785555,3,DK Moser
7102093023,6,Shah Ebrahim
7102093023,6,S. Ebrahim
7102422991,8,Jeffrey A. Cutler
7102422991,8,JA Cutler
7102658830,7,Lawrence J. Appel
7102658830,7,Lawrence Appel
7103041111,8,Paul K. Whelton
7103154099,2,Matthew McQueen
7103154099,2,Matthew J. McQueen
7201621928,2,Yutaka Inaba
7202563785,2,Koon Teo
7202749318,2,Salim Yusuf
7202992021,5,Nancy R. Cook
7202992021,5,Nancy Cook
7402437110,2,Misook L. Chung
7402437110,2,ML Chung
7402808799,6,Hillel Cohen
7402808799,6,Hillel W. Cohen
7403005275,2,Shogo Kikuchi
7404983432,2,Jiang He
8412763300,2,Valma Harjutsalo
8525341800,5,Sergio Fasullo
8717911500,2,Lena Thorn
8717912500,2,Johan Wad??n
8717912500,2,Johan Wad??en
8739842100,2,Nancy J. Aburto
8739842100,2,N Aburto
10139227400,2,Susan M. Hailpern
14321895500,2,Andrew Mente
15839652500,2,Daniel Gordin
19735171700,2,Clifton R. Lacy
21640320400,3,Giuseppe Licata
23478260800,2,Susan J. Pressler
23994467100,2,Daniele Torres
25029612300,2,Nina Tolonen
26324845700,2,Hiddo J.Lambers Heerspink
26644694600,3,Kate E. Ashton
26656978600,3,Eun Kyeung Song
26657630700,2,Tiffany Moxham
35195702500,2,Johanna M. Geleijnse
35227393400,4,Hiroyasu Iso
35236499700,2,Mark A. Espeland
35354080500,3,George Davey Smith
35354080500,3,G. Davey Smith
35380806400,5,Shiriki Kumanyika
35380806400,5,Shiriki K. Kumanyika
35461916400,3,Merlin C. Thomas
35466880500,3,John Moran
35466880500,3,John L. Moran
36047010400,4,Julie E. Buring
36047010400,4,Julie Buring
55124900800,2,Gerjan J. Navis
55124900800,2,Gerjan Navis
55628530729,3,Rod S. Taylor
55628530729,3,RS Taylor
55666266600,4,Filippo M. Sarullo
56959677700,2,Yoshiyuki Watanabe
57059210000,7,Michael H. Alderman
57059210000,7,Michael Alderman
57194377301,3,Christopher Bartlett
57194377301,3,C. Bartlett
57202570778,2,Kay Tee Khaw
57202855325,6,Lee Hooper
57202855325,6,L. Hooper
57203897559,2,Suma Vupputuri
57210591242,2,Martin J. O'Donnell
57210591242,2,Martin O'Donnell
57217506894,2,John H. Laragh
57217506894,2,John Laragh
