author_id,report_id,no_of_srrs,no_of_psrs,percent_srrs,author_full_name
1,[335],0,1,0.0,Yunqiao Sun
2,[412],0,1,0.0,Haiyan Yin
3,[412],0,1,0.0,Baiqing Zhao
4,[412],0,1,0.0,Yanqiang Liao
5,[412],0,1,0.0,Qingkui Lin
6,[266],0,1,0.0,Huipeng Fu 
7,[266],0,1,0.0,Xiaohui Zhao
8,[408],0,1,0.0,Yonghui Wu
9,[408],0,1,0.0,Ouying Chen
10,[408],0,1,0.0,Yaoyue Luo
11,[408],0,1,0.0,Rongchen Jin
12,[408],0,1,0.0,Shiwen He
13,[242],0,1,0.0,Yu Liu
14,[242],0,1,0.0,Ran Huo
15,[242],0,1,0.0,Yi Lai
16,[242],0,1,0.0,Qiuli Yao
17,[242],0,1,0.0,Caiyun Chen
19,[309],0,1,0.0,Honghua Liu
20,"[242, 309]",0,2,0.0,Yan Chen
21,[309],0,1,0.0,Xia Yi
22,[309],0,1,0.0,Yinhua Zhang
23,[309],0,1,0.0,Qiuhong Zhou
24,[309],0,1,0.0,Yanlan Yu
25,[309],0,1,0.0,Ying Huang
26,[299],0,1,0.0,Xinyuan Wu
27,[299],0,1,0.0,Li Li
28,[299],0,1,0.0,Peiran Ding
29,[299],0,1,0.0,Jun Li
30,[419],0,1,0.0,Xia Wu
31,[419],0,1,0.0,Wugeng Xue
32,[419],0,1,0.0,Jing Fang
33,[419],0,1,0.0,Junxing Wang
34,[419],0,1,0.0,Xinliu Fan
35,[419],0,1,0.0,Haixiao Ma
36,[419],0,1,0.0,Zhe Liu
37,[419],0,1,0.0,Caide Ye
38,[419],0,1,0.0,Jinxiu Duan
39,[373],0,1,0.0,Jinchun Wu
40,[373],0,1,0.0,Bo Yang
41,[373],0,1,0.0,Rong Xiao
42,[373],0,1,0.0,Chengfeng Luo
43,[373],0,1,0.0,Yanan Shang
44,[227],0,1,0.0,Huilan Zhou
47,[315],0,1,0.0,Tao Zhou
