source,target,no_of_reports_coauthored,no_of_srrs_coauthored,no_of_psrs_coauthored,percent_srrs
2,3,1.0,0.0,1.0,0.0
2,4,1.0,0.0,1.0,0.0
2,5,1.0,0.0,1.0,0.0
3,2,1.0,0.0,1.0,0.0
3,4,1.0,0.0,1.0,0.0
3,5,1.0,0.0,1.0,0.0
4,2,1.0,0.0,1.0,0.0
4,3,1.0,0.0,1.0,0.0
4,5,1.0,0.0,1.0,0.0
5,2,1.0,0.0,1.0,0.0
5,3,1.0,0.0,1.0,0.0
5,4,1.0,0.0,1.0,0.0
6,7,1.0,0.0,1.0,0.0
7,6,1.0,0.0,1.0,0.0
8,9,1.0,0.0,1.0,0.0
8,10,1.0,0.0,1.0,0.0
8,11,1.0,0.0,1.0,0.0
8,12,1.0,0.0,1.0,0.0
9,8,1.0,0.0,1.0,0.0
9,10,1.0,0.0,1.0,0.0
9,11,1.0,0.0,1.0,0.0
9,12,1.0,0.0,1.0,0.0
10,8,1.0,0.0,1.0,0.0
10,9,1.0,0.0,1.0,0.0
10,11,1.0,0.0,1.0,0.0
10,12,1.0,0.0,1.0,0.0
11,8,1.0,0.0,1.0,0.0
11,9,1.0,0.0,1.0,0.0
11,10,1.0,0.0,1.0,0.0
11,12,1.0,0.0,1.0,0.0
12,8,1.0,0.0,1.0,0.0
12,9,1.0,0.0,1.0,0.0
12,10,1.0,0.0,1.0,0.0
12,11,1.0,0.0,1.0,0.0
13,14,1.0,0.0,1.0,0.0
13,15,1.0,0.0,1.0,0.0
13,16,1.0,0.0,1.0,0.0
13,17,1.0,0.0,1.0,0.0
13,20,1.0,0.0,1.0,0.0
14,13,1.0,0.0,1.0,0.0
14,15,1.0,0.0,1.0,0.0
14,16,1.0,0.0,1.0,0.0
14,17,1.0,0.0,1.0,0.0
14,20,1.0,0.0,1.0,0.0
15,13,1.0,0.0,1.0,0.0
15,14,1.0,0.0,1.0,0.0
15,16,1.0,0.0,1.0,0.0
15,17,1.0,0.0,1.0,0.0
15,20,1.0,0.0,1.0,0.0
16,13,1.0,0.0,1.0,0.0
16,14,1.0,0.0,1.0,0.0
16,15,1.0,0.0,1.0,0.0
16,17,1.0,0.0,1.0,0.0
16,20,1.0,0.0,1.0,0.0
17,13,1.0,0.0,1.0,0.0
17,14,1.0,0.0,1.0,0.0
17,15,1.0,0.0,1.0,0.0
17,16,1.0,0.0,1.0,0.0
17,20,1.0,0.0,1.0,0.0
19,20,1.0,0.0,1.0,0.0
19,21,1.0,0.0,1.0,0.0
19,22,1.0,0.0,1.0,0.0
19,23,1.0,0.0,1.0,0.0
19,24,1.0,0.0,1.0,0.0
19,25,1.0,0.0,1.0,0.0
20,13,1.0,0.0,1.0,0.0
20,14,1.0,0.0,1.0,0.0
20,15,1.0,0.0,1.0,0.0
20,16,1.0,0.0,1.0,0.0
20,17,1.0,0.0,1.0,0.0
20,19,1.0,0.0,1.0,0.0
20,21,1.0,0.0,1.0,0.0
20,22,1.0,0.0,1.0,0.0
20,23,1.0,0.0,1.0,0.0
20,24,1.0,0.0,1.0,0.0
20,25,1.0,0.0,1.0,0.0
21,19,1.0,0.0,1.0,0.0
21,20,1.0,0.0,1.0,0.0
21,22,1.0,0.0,1.0,0.0
21,23,1.0,0.0,1.0,0.0
21,24,1.0,0.0,1.0,0.0
21,25,1.0,0.0,1.0,0.0
22,19,1.0,0.0,1.0,0.0
22,20,1.0,0.0,1.0,0.0
22,21,1.0,0.0,1.0,0.0
22,23,1.0,0.0,1.0,0.0
22,24,1.0,0.0,1.0,0.0
22,25,1.0,0.0,1.0,0.0
23,19,1.0,0.0,1.0,0.0
23,20,1.0,0.0,1.0,0.0
23,21,1.0,0.0,1.0,0.0
23,22,1.0,0.0,1.0,0.0
23,24,1.0,0.0,1.0,0.0
23,25,1.0,0.0,1.0,0.0
24,19,1.0,0.0,1.0,0.0
24,20,1.0,0.0,1.0,0.0
24,21,1.0,0.0,1.0,0.0
24,22,1.0,0.0,1.0,0.0
24,23,1.0,0.0,1.0,0.0
24,25,1.0,0.0,1.0,0.0
25,19,1.0,0.0,1.0,0.0
25,20,1.0,0.0,1.0,0.0
