author_id,report_id,no_of_srrs,no_of_psrs,percent_srrs,author_full_name
1,"[35, 36, 37, 32]",0,4,0.0,Jerome D. Cohen
3,[10],1,0,1.0,JJ DiNicolantonio
4,[10],1,0,1.0,DG Hackam
5,"[32, 38]",0,2,0.0,Jeanne Charleston
6,"[35, 37]",0,2,0.0,Jeremiah Stamler
7,"[35, 37]",0,2,0.0,Gregory Grandits
8,[44],0,1,0.0,VP Valkonen
9,[44],0,1,0.0,S Voutilainen
10,[44],0,1,0.0,K Nyssonen
11,[44],0,1,0.0,R Salonen
12,[44],0,1,0.0,TA Lakka 
13,[44],0,1,0.0,JT Salonen
14,[72],0,1,0.0,S Heo
15,[72],0,1,0.0,RL Dekker
16,"[29, 32]",0,2,0.0,Albert Oberman
17,"[29, 38]",0,2,0.0,Janet Raines
18,"[29, 32, 38]",0,3,0.0,Nemat O. Borhani
19,"[29, 32]",0,2,0.0,Patty Borhani
20,"[29, 32]",0,2,0.0,Carolyn Sugars
21,[29],0,1,0.0,Herbert G. Langford
22,"[29, 32]",0,2,0.0,Sheila Corrigan
23,[29],0,1,0.0,David Schlundt
24,[29],0,1,0.0,Ronald J. Prineas
25,[29],0,1,0.0,Dorothy Buckingham
26,[29],0,1,0.0,Brian Laing
27,[29],0,1,0.0,Curtis L. Meinert
28,[29],0,1,0.0,James Ibnascia
29,[29],0,1,0.0,Susan Tonascia
30,[29],0,1,0.0,Katherine Detre
31,"[29, 32, 38]",0,3,0.0,Arlene W. Caggiula
32,"[32, 38]",0,2,0.0,N. Carole Milas
33,"[32, 38]",0,2,0.0,Monica Yamamoto
34,[29],0,1,0.0,Wendy Bjornson-Benson
35,[29],0,1,0.0,Vikki Mullenbach
36,[29],0,1,0.0,Thomas P. Blaszkowski
37,[29],0,1,0.0,Van Nuys
38,[29],0,1,0.0,Penelope M. Keyl
39,[29],0,1,0.0,James Tonascia
40,"[32, 38]",0,2,0.0,Arlene Taylor Dalcin
41,[32],0,1,0.0,Craig Ewart
42,[32],0,1,0.0,Linda Fried
43,[32],0,1,0.0,Delores Kaidy
44,[32],0,1,0.0,Michael J. Klag
45,[32],0,1,0.0,Lyn Steffen
46,"[32, 38]",0,2,0.0,W. Gordon Walker
47,[32],0,1,0.0,Karen Counts
48,[32],0,1,0.0,Heidi Hataway
49,"[32, 38]",0,2,0.0,James Raczynski
50,[32],0,1,0.0,Neil Rappaport
51,[32],0,1,0.0,Roland Weinsier
52,[32],0,1,0.0,Edmund Bernauer
53,[32],0,1,0.0,Carlos de la
54,[32],0,1,0.0,Andrew Ertl
55,[32],0,1,0.0,Doug Heustis
56,[32],0,1,0.0,Marshall Lee
57,[32],0,1,0.0,Wade Lovelace
58,[32],0,1,0.0,Ellen O'Connor
59,[32],0,1,0.0,Liz Peel
60,"[32, 38]",0,2,0.0,James O. Taylor
61,[32],0,1,0.0,Beth Walker Corkery
62,[32],0,1,0.0,Denis A. Evans
63,[32],0,1,0.0,Mary Ellen Keough
64,[32],0,1,0.0,Martha Clare Morris
65,[32],0,1,0.0,Eleanor Pistorino
66,[32],0,1,0.0,Frank Sacks
67,"[32, 38]",0,2,0.0,Mary E. Cameron
68,[32],0,1,0.0,Nancy King Wright
69,"[32, 38]",0,2,0.0,Amy Brewer
70,"[32, 38]",0,2,0.0,Laretha Goodwin Randolph
71,"[32, 38]",0,2,0.0,Stephen T. Miller
72,[32],0,1,0.0,Joe Murphy
73,"[32, 38]",0,2,0.0,Judy Randle
74,"[32, 38]",0,2,0.0,Jay Sullivan
75,[32],0,1,0.0,Norman L. Lasser
76,"[32, 38]",0,2,0.0,David M. Batey
77,"[32, 38]",0,2,0.0,Lee Dolan
78,[32],0,1,0.0,Sheila Hamill
79,[32],0,1,0.0,Pat Kennedy
80,"[32, 38]",0,2,0.0,Vera I. Lasser
81,"[35, 37, 32]",0,3,0.0,Lewis H. Kuller
82,"[32, 38]",0,2,0.0,Thomas M. Vogt
83,[32],0,1,0.0,Merwyn R. Greenlick
84,[32],0,1,0.0,Jack Hollis
85,"[32, 38]",0,2,0.0,Victor Stevens
87,"[32, 38]",0,2,0.0,Mildred Mattfeldt-Beman
88,[32],0,1,0.0,Connie Brinkmann
89,[32],0,1,0.0,Katherine Roth
90,"[32, 38]",0,2,0.0,Lana Shepek
91,"[32, 38]",0,2,0.0,Charles H. Hennekens
92,"[32, 38]",0,2,0.0,Ellie Danielson
93,[32],0,1,0.0,Kim Eberlein
94,[32],0,1,0.0,David Gordon
95,"[32, 38]",0,2,0.0,Patricia Hebert
96,"[32, 38]",0,2,0.0,Jean MacFadyen
97,[32],0,1,0.0,Sherry Mayrent
98,"[32, 38]",0,2,0.0,Bernard Rosner
99,[32],0,1,0.0,Suzanne Satterfield
100,[32],0,1,0.0,Heather Tosteson
101,"[32, 38]",0,2,0.0,Martin Van Denburgh
102,[32],0,1,0.0,Erica Brittain
103,[32],0,1,0.0,Marilyn Farrand
104,[32],0,1,0.0,Peter Kaufmann
105,[32],0,1,0.0,Ed Lakatos
106,[32],0,1,0.0,John Belcher
107,"[32, 38]",0,2,0.0,Andrea Dommeyer
108,"[32, 38]",0,2,0.0,Ivan Mills
109,[32],0,1,0.0,Peggy Neibling
110,"[32, 38]",0,2,0.0,Margo Woods
111,[32],0,1,0.0,B.J. Kremen Goldman
112,"[32, 38]",0,2,0.0,Elaine Blethen
113,[38],0,1,0.0,Jennifer Haythornthwaite
114,[38],0,1,0.0,Wendie Rosofsky
115,[38],0,1,0.0,Karen Wanek
116,[38],0,1,0.0,Charlotte Bragg
117,[38],0,1,0.0,Mona Fouad
118,[38],0,1,0.0,Yvonne Krekeler
119,[38],0,1,0.0,Anne Owens
120,[38],0,1,0.0,Delia Smith
121,[38],0,1,0.0,Lorna Beiden
122,[38],0,1,0.0,Ang??lique Salonga
123,[38],0,1,0.0,Trina Guly
124,[38],0,1,0.0,Marian Millstone
125,[38],0,1,0.0,Tracy Smith
126,[38],0,1,0.0,Joe Salonga
127,[38],0,1,0.0,Lena Ardell Hinton
128,[38],0,1,0.0,Nancy King
129,[38],0,1,0.0,Kent A. Kirchner
130,[38],0,1,0.0,Cynthia Sadler
131,[38],0,1,0.0,Thomas Payne
132,[38],0,1,0.0,Catherine Adair
133,[38],0,1,0.0,Carla Russell
134,[38],0,1,0.0,Jennifer Graham
135,[38],0,1,0.0,Iris Isaacs
136,[38],0,1,0.0,Julie Bottom
137,[38],0,1,0.0,Mace Coday
138,[38],0,1,0.0,Beth Jensen
139,[38],0,1,0.0,Carla Miller
141,[38],0,1,0.0,Debbi Slawson
142,[38],0,1,0.0,Beverly Sousoulas
143,[38],0,1,0.0,Rhonda Greenberg
144,[38],0,1,0.0,Paulette McMillan
145,[38],0,1,0.0,Lana Olsson
146,[38],0,1,0.0,Susan Ritter
147,[38],0,1,0.0,Bali Singh
148,[38],0,1,0.0,Robert Schultz
149,[38],0,1,0.0,Fran Averbach
150,[38],0,1,0.0,Mary Anne Biagetti
151,[38],0,1,0.0,Janet Bonk
152,[38],0,1,0.0,Debbie Cusick
153,[38],0,1,0.0,Marge Geason
154,[38],0,1,0.0,Bonnie Gillis
155,[38],0,1,0.0,Ed Gregg
156,[38],0,1,0.0,Barbara Haggerty
157,[38],0,1,0.0,Beth Hall
158,[38],0,1,0.0,Piera Kost
159,[38],0,1,0.0,Marcella Link
160,[38],0,1,0.0,Kim Lucas
161,[38],0,1,0.0,Peg Meyer
162,[38],0,1,0.0,Bobbie Moyer
163,[38],0,1,0.0,Joan Procopio
164,[38],0,1,0.0,Laurey Simkin-Silverman
165,[38],0,1,0.0,Elaine Stano
166,[38],0,1,0.0,Mary Hellen Turek
167,[38],0,1,0.0,Charlene Walters
168,[38],0,1,0.0,Steve Berg-Smith
169,[38],0,1,0.0,Shirley Craddick
170,[38],0,1,0.0,Denise Ernst
171,[38],0,1,0.0,Stephanie Hertert
172,[38],0,1,0.0,Elizabeth Packer
173,[38],0,1,0.0,Luanna Diller
174,[38],0,1,0.0,Judy Wick
175,[38],0,1,0.0,Jane Finn
176,[38],0,1,0.0,Ethel Frese
177,[38],0,1,0.0,Al Fressola
178,[38],0,1,0.0,Tricia Gerhard
179,[38],0,1,0.0,Susan Lukwago
180,[38],0,1,0.0,Carol Weand
181,[38],0,1,0.0,Marilyn Chown
182,[38],0,1,0.0,William Christen
193,[38],0,1,0.0,I-Min Lee
194,[38],0,1,0.0,Elizabeth Reilly
195,[38],0,1,0.0,P. Scott Allender
196,[38],0,1,0.0,Marguerite Evans
197,[38],0,1,0.0,Dean Follmann
198,[38],0,1,0.0,Jennifer Hayes
199,[38],0,1,0.0,Ann LaBrode
200,[29],0,1,0.0,Jeannie McKenzie
201,[29],0,1,0.0,Robert W. Jeffery
202,[35],0,1,0.0,M Kjelsberg
203,"[35, 37]",0,2,0.0,James D Neaton
204,[35],0,1,0.0,J Ockene
205,[11],1,0,1.0,Cheryl A.M. Anderson
206,[11],1,0,1.0,Jamy Ard
207,[11],1,0,1.0,Kirsten Bibbins-Domingo
208,[11],1,0,1.0,Mary Kay Fox
209,[11],1,0,1.0,Joachim Ix
210,[11],1,0,1.0,Stephen E. Kimmel
211,[11],1,0,1.0,Alice H. Lichtenstein
212,[11],1,0,1.0,Myron Weinberger
213,[11],1,0,1.0,Julia Hoglund
214,[11],1,0,1.0,Colin F. Fink
215,[11],1,0,1.0,Anton Bandy
216,[11],1,0,1.0,Geraldine Kennedo
217,[11],1,0,1.0,Linda D. Meyers
218,[11],1,0,1.0,Rose Marie Martinez
6504019758,[39],0,1,0.0,Richard A' Brook
6504246725,[60],0,1,0.0,Parrinello Gaspare
6506535681,[48],0,1,0.0,Giuseppe Follone
6506669400,"[78, 87]",0,2,0.0,Aila Ahola
6506894570,[48],0,1,0.0,Christiano Argano
6507382136,[88],0,1,0.0,Chika Horikawa
6507728326,[43],0,1,0.0,Linda Easter
6508093331,[50],0,1,0.0,Francesca Di Gaudio
6508330060,[11],1,0,1.0,Ann L. Yaktine
6601967008,"[71, 86, 72]",0,3,0.0,Terry A. Lennie
6601969055,"[45, 46]",0,2,0.0,Lydia A. Bazzano
6601984726,"[42, 43]",0,2,0.0,Steven Folmar
6602259748,[91],0,1,0.0,Jephat Chifamba
6602316205,[74],0,1,0.0,Antonio Dans
6602486700,[47],0,1,0.0,Vladislav Moltchanov
6602516713,[54],0,1,0.0,Carlene Lawes
6602566931,[83],0,1,0.0,M. M.M. Sea
6602574071,[77],0,1,0.0,Agnieszka Olszanecka
6602679623,[85],0,1,0.0,Sushrut S. Waikar
6602720330,[30],0,1,0.0,Erik Folmer Ellekjaer
6602780506,[48],0,1,0.0,Antonino Tuttolomondo
6602845482,[75],0,1,0.0,Sebastiano Scalzo
6602919378,[87],0,1,0.0,Chris Tikellis
6602976862,"[78, 87]",0,2,0.0,Markku Saraheimo
6603292281,[30],0,1,0.0,Jan Marcus Sverre
6603311439,[75],0,1,0.0,Giorgio Maringhini
6603351704,[91],0,1,0.0,Rafal Ilow
6603574316,[88],0,1,0.0,Osamu Hanyu
6603722026,[77],0,1,0.0,Katarzyna Stolarz-Skrzypek
6603732085,[80],0,1,0.0,Otavio R. Coelho
6603759894,[77],0,1,0.0,Val??rie Tikhonoff
6603778772,[75],0,1,0.0,Gennaro Cice
6603823764,"[64, 75]",0,2,0.0,Sergio Cannizzaro
6603835270,[80],0,1,0.0,Eliana C. de Faria
6603836549,[39],0,1,0.0,Roger Tavendale
6603876724,[77],0,1,0.0,Sofia Malyutina
6603945923,"[50, 63]",0,2,0.0,Marco Giammanco
6701315434,[83],0,1,0.0,W. Goggins
6701366547,[47],0,1,0.0,Daiva Rastenyte
6701423169,[27],0,1,0.0,J. S. Popper
6701509717,[58],0,1,0.0,Satu M??nnist??
6701541379,[11],1,0,1.0,Maria Oria
6701723275,[13],1,0,1.0,Bo Baslund
6701828350,[54],0,1,0.0,Rachel Huxley
7003464052,"[55, 56]",0,2,0.0,Kathryn M. Rexrode
7003498857,[69],0,1,0.0,Richard J. Macisaac
7003542085,[84],0,1,0.0,Julia B. Lewis
7003545543,[54],0,1,0.0,Federica Barzi
7003576701,[49],0,1,0.0,Naoyoshi Takatsuka
7003829555,[91],0,1,0.0,Scott A. Lear
7003859797,[91],0,1,0.0,Alvaro Avezum
7003942962,[80],0,1,0.0,Andrei C. Sposito
7003998135,[79],0,1,0.0,Elena V. Kuklina
7004034755,[89],0,1,0.0,Kenneth J. Mukamal
7004124868,[81],0,1,0.0,Tatjana Rundek
7004152046,"[78, 87]",0,2,0.0,Carol Forsblom
7004280517,"[47, 58]",0,2,0.0,Pirjo Pietinen
7004307683,"[45, 46]",0,2,0.0,Lorraine G. Ogden
7004440499,[30],0,1,0.0,Jostein Holmen
7004443355,[40],0,1,0.0,Alberto Ascherio
7004478068,[91],0,1,0.0,Patricio Lopez-Jaramillo
7004487795,"[48, 50, 63, 64, 75]",0,5,0.0,Gaspare Parrinello
7004561961,[89],0,1,0.0,Ron T. Gansevoort
7004577495,[67],0,1,0.0,Nobutake Shimojo
7004668410,"[45, 46]",0,2,0.0,Catherine Loria
7004702187,"[61, 82]",0,2,0.0,Chigusa Date
7004891687,"[42, 32, 38]",0,3,0.0,William B. Applegate
7005017834,"[78, 87]",0,2,0.0,Per Henrik Groop
7005078898,[79],0,1,0.0,Nicole Dowling
7005122218,[84],0,1,0.0,Pieter A. De Graeff
7005192838,[4],1,0,1.0,Pasquale Strazzullo
7005204049,[66],0,1,0.0,Shoichiro Tsugane
7005231100,[58],0,1,0.0,Mikko J. Virtanen
7005285275,[79],0,1,0.0,Cathleen Gillespie
7005302548,[77],0,1,0.0,Kalina Kawecka-Jaszcz
7005417514,[58],0,1,0.0,Monica Mars
7005435520,[89],0,1,0.0,Edith J.M. Feskens
7005473334,[53],0,1,0.0,Jacqueline C.M. Witteman
7005479262,[69],0,1,0.0,George Jerums
7005545505,[91],0,1,0.0,Khalid Yusoff
7005647985,[47],0,1,0.0,Pekka Jousilahti
